CODE COMPARATIVE TABLE
Editorial Note: The 1959 Code sections listed in this table are taken from the 1959 City of East Point Code, as amended through 1977. The disposition in this code of ordinances adopted from April 4, 1977 is listed in the Ordinance Disposition Table which follows this table. In these tables, "N.C." means not codified; "R" means repealed; "S" means superseded; and "et seq." means "and the sections which follow."
EXPAND
Code 1959 Code 1980
14-39 13-2019
14-39.1 13-1013
14-40 S 13-2020
14-41 S 13-2020
14-42 S 13-2020
14-43 S 13-2020
14-44 S 13-2020
14-45 R
14-46 13-1014
14-47 13-1015
14-48 13-1016
14-49 13-2021
14-49.1 R
14-50 R
14-50.1 13-1017
14-51 R
14-51.1 S 13-2022
14-52 13-2023
14-53 13-2024
14-54 13-1018
14-55 13-1019
14-56 13-2025
15-1 9-1004
15-1.1 R
15-1.2 9-1021
15-2 9-1022
15-3 9-1023
15-4 9-1024
15-5 R
15-6 9-1025
15-7 9-1026
15-8 R
15-9 R
15-10 9-1027
15-11 9-1028
15-11.1 9-1029
15-12 9-1035
15-12.1 9-1031
15-12.2 R
15-12.3 9-1033
15-12.4 9-1030
15-12.5 9-1032
15-13 9-1034
15-14 9-1005
15-15 R
15-16 R
15-17 R
15-18 R
15-19 9-1006
15-20 9-1001
15-21 9-1002
15-21.1 S 9-1003
15-22 R
15-23 R
15-24 R
15-25 R
15-26 R
15-27 R
15-28 R
15-29 R
15-30 R
15-31 R
15-32 R
15-33 R
15-34 R
15-35 R
15-36 R
15-37 R
15-38 R
15-39 R
15-40 R
15-41 R
15-42 R
15-43 R
15-44 R
15-45 R
15-46 R
15-47 R
15-48 R
15-49 R
15-50 R
15-51 R
16-1 6-1001
16-1.1 R
16-2 6-1001
16-2.1 R
16-2.2 R
16-2.2 R
16-2.3 R
16-2.4 R
16-3 R
16-4 6-1003
16-4.1 S 6-1004
16-5 R
16-6 6-1005
16-7 S 6-1006
16-8 R
16-9 6-1007
16-10 S 6-1008
16-10.1 R
16-11 R
16-12 6-1009
16-13 6-1010
16-14 S 6-1011
16-15 R
16-16 R
16-17 6-1012
16-18 6-1013
16-19 6-1014
16-20 6-1015
16-20.1 R
16-21 6-1016
16-21.1 6-1017
16-22 6-1018
16-22.1 6-1019
16-23 6-1020
16-24 6-1021
16-25 S 6-1022
16-26 S 6-1023
16-27 R
16-28 S 6-1024
16-29 6-1025
16-30 6-1026
16-30.1 6-1027
16-30.2 R
16-30.3 R
16-30.4 R
16-30.5 S 6-1028
16-31 6-1029
16-32 6-1030
16-32.1 6-1031
16-33 6-1032
16-34 S 6-1033
16-35 6-1034
16-36 S 6-1035
16-37 6-1036
16-38 6-1037
16-39 6-1038
16-50 6-1071
16-51 S 6-1072
16-52 S 6-1073
16-53 6-1074
16-54 6-1075
16-55 6-1076
16-56 S 6-1077
16-57 R
16-58 6-1078
16-59 6-1079
16-70 6-1091
16-71 6-1092
16-82 6-3001
16-83 6-3002
16-84 6-3003
16-85 6-3004
16-86 6-3005
17-1 R
17-2 R
17-3 R
17-4 13-3001
17-5 13-3002
17-6 R
17-7 R
17-8 R
17-9 R
17-10 13-3003
18-1 8-3001
18-2 8-3002
18-2.1 8-3003
18-3 8-3004
18-4 8-3005
18-5 8-3006
18-6 8-3007
18-7 8-3008
18-8 8-3009
18-9 8-3010
18-10 8-3011
18-10.1 S 8-3012
18-10.3 8-3014
18-11 8-3015
18-11.1 R
18-11.2 8-3016
18-12 8-3017
18-12.1 8-3018
18-13 8-3019
18-14 8-3020
18-14.1 S 8-3021
18-15 8-3022
19-1 8-1001
19-2 8-1002
19-3 8-1003
19-4 8-1004
19-5 8-1005
19-6 8-1006
19-7 8-1007
19-8 8-1008
19-9 R
19-10 R
19-11 R
19-12 R
19-13 R
19-14 8-1009
19-14.1 8-1010
19-15 8-1011
19-16 8-1012
19-17 R
19-18 R
19-19 R
19-20 8-1013
19-21 R
19-22 8-1014
19-23 R
19-23.1 R
19-24 R
19-25 R
19-26 R
19-27 8-1015
19-28 R
19-29 R
19-30 R
19-31 S 8-1031
19-32 8-1032
19-32.1 8-1033
19-33 8-1034
19-34 8-1035
19-35 8-1036
19-36 8-1037
19-37 8-1038
19-38 8-1039
19-39 8-1040
19-40 8-1041
19-41 8-1042
19-42 8-1043
19-43 8-1044
19-44 8-1061
19-44.01 8-1062
19-44.1 8-1063
19-45 8-1064
19-46 8-1065
19-47 S 8-1066
19-48 8-1067
19-49 8-1068
19-50 8-1069
19-51 8-1070
19-52 8-1071
19-53 8-1072
19-53.1 8-1073
19-54 8-1091
19-54.1 8-1092
19-54.2 8-1093
19-54.3 S 8-1094
19-55 8-1095
19-56 8-1096
19-57 8-1097
19-58 8-1098
19-59 8-1099
19-60 8-1100
19-61 8-1101
19-62 8-1102
20-1 R
20-1.1 R
20-2 5-1001
20-2.1 S 5-1030
20-3 5-1031
20-5 S 5-1002
20-6 S 5-1003
20-7 S 5-1004
20-8 S 5-1005
20-9 S 5-1006
20-10 R
20-11 S 5-1007
20-12 S 5-1008
20-13 S 5-1009
20-14 S 5-1010
20-15 5-1011
20-16 5-1012
20-17 5-1013
20-18 5-1014
20-19 S 5-1015
20-20 S 5-1016
20-21 S 5-1017
20-22 S 5-1018
20-23 S 5-1019
20-24 S 5-1020
20-25 S 5-1021
20-26 5-1022
20-27 S 5-1023
20-28 5-1024
20-29 5-1025
20-30 5-1026
20-31 5-1027
20-32 5-1028
20-33 5-1071
20-34 S 5-1029
20-46 S 5-1051
20-47 5-1052
20-48 5-1053
20-49 5-1054
20-50 5-1055
20-51 5-1056
20-52 5-1057
20-53 5-1058
20-54 5-1059
20-55 5-1060
20-56 R
20-57 R
21-1 11-5001
21-2 11-5002
21-3 11-5003
21-4 11-5004
21-5 11-5005
21-6 S 11-5006
21-7 S 11-5007
21-8 S 11-5008
21-9 11-5009
21-10 11-5010
21-11 11-5011
21-12 11-5012
21-13 11-5013
21-13.1 S 11-5014
21-14 S 11-5015
21-15 11-5016
21-16 11-5017
21-17 11-5018
21-18 11-5019
21-19 11-5020
21-19.1 11-5021
21-20 11-5031
21-21 11-5032
21-22 S 11-5033
21-23 11-5034
21-24 11-5035
21-25 S 11-5036
21-26 11-5037
21-27 11-5038
