CODE COMPARATIVE TABLE - LEGISLATION
This is a chronological listing of the ordinances of the city used in this Code. Repealed or superseded laws at the time of the codification and any omitted materials are not reflected in the table.
EXPAND
Legislation Date Section Section
this Code
I(27-104) 27-183
I(27-105) 27-184
I(27-106) 27-185
I(27-107) 27-186
I(27-108) 27-187
I(27-109) 27-188
I(27-110) 27-189
I(27-111) 27-190
I(27-121) 27-219
I(27-122) 27-220
I(27-123) 27-221
I(27-124) 27-222
I(27-125) 27-223
I(27-126) 27-224
I(27-127) 27-225
I(27-128) 27-226
I(27-129) 27-227
I(27-130) 27-228
I(27-131) 27-229
I(27-141) 27-252
I(27-142) 27-253
I(27-143) 27-254
I(27-144) 27-255
I(27-145) 27-256
I(27-146) 27-257
I(27-147) 27-258
I(27-148) 27-259
I(27-149) 27-260
I(27-150) 27-261
I(27-151) 27-262
I(27-161) 27-288
I(27-162) 27-289
I(27-163) 27-290
I(27-164) 27-291
I(27-165) 27-292
I(27-166) 27-293
I(27-167) 27-294
I(27-168) 27-295
I(27-169) 27-296
I(27-170) 27-297
I(27-171) 27-298
I(27-181) 27-330
I(27-182) 27-331
I(27-183) 27-332
I(27-184) 27-333
I(27-185) 27-334
I(27-186) 27-335
I(27-187) 27-336
I(27-188) 27-337
I(27-189) 27-338
I(27-190) 27-339
I(27-191) 27-340
I(27-201) 27-369
I(27-202) 27-370
I(27-203) 27-371
I(27-204) 27-372
I(27-205) 27-373
I(27-206) 27-374
I(27-207) 27-375
I(27-208) 27-376
I(27-209) 27-377
I(27-210) 27-378
I(27-211) 27-379
I(27-221) 27-402
I(27-222) 27-403
I(27-223) 27-404
I(27-224) 27-405
I(27-225) 27-406
I(27-226) 27-407
I(27-227) 27-408
I(27-228) 27-409
I(27-229) 27-410
I(27-230) 27-411
I(27-231) 27-412
I(27-232) 27-413
I(27-233) 27-414
I(27-241) 27-442
I(27-242) 27-443
I(27-243) 27-444
I(27-244) 27-445
I(27-245) 27-446
I(27-246) 27-447
I(27-247) 27-448
I(27-248) 27-449
I(27-249) 27-450
I(27-250) 27-451
I(27-251) 27-452
I(27-261) 27-473
I(27-262) 27-474
I(27-263) 27-475
I(27-264) 27-476
I(27-265) 27-477
I(27-266) 27-478
I(27-267) 27-479
I(27-268) 27-480
I(27-269) 27-481
I(27-270) 27-482
I(27-271) 27-483
I(27-272) 27-484
I(27-273) 27-485
I(27-275) 27-509
I(27-276) 27-510
I(27-277) 27-511
I(27-278) 27-531
I(27-279) 27-532
I(27-280) 27-533
I(27-281) 27-560
I(27-282) 27-561
I(27-283) 27-562
I(27-284) 27-563
I(27-285) 27-564
I(27-286) 27-565
I(27-287) 27-566
I(27-288) 27-567
I(27-289) 27-568
I(27-290) 27-569
I(27-291) 27-570
I(27-301) 27-589
I(27-302) 27-590
I(27-303) 27-591
I(27-304) 27-592
I(27-305) 27-593
I(27-306) 27-594
I(27-307) 27-595
I(27-308) 27-596
I(27-309) 27-597
I(27-310) 27-598
I(27-311) 27-599
I(27-312) 27-600
I(27-313) 27-601
I(27-314) 27-602
I(27-315) 27-603
I(27-326) 27-625
I(27-327) 27-626
I(27-328) 27-627
I(27-329) 27-628
I(27-330) 27-629
I(27-331) 27-630
I(27-332) 27-631
I(27-333) 27-632
I(27-334) 27-633
I(27-335) 27-634
I(27-336) 27-635
I(27-337) 27-636
I(27-338) 27-637
I(27-339) 27-638
I(27-340) 27-639
I(27-351) 27-667
I(27-352) 27-668
I(27-353) 27-669
I(27-354) 27-670
I(27-355) 27-671
I(27-356) 27-672
I(27-357) 27-673
I(27-358) 27-674
I(27-359) 27-675
I(27-360) 27-676
I(27-361) 27-677
I(27-362) 27-678
I(27-363) 27-679
I(27-364) 27-680
I(27-365) 27-681
I(27-376) 27-706
I(27-377) 27-707
I(27-378) 27-708
I(27-379) 27-709
I(27-380) 27-710
I(27-381) 27-711
I(27-382) 27-712
I(27-383) 27-713
I(27-384) 27-714
I(27-385) 27-715
I(27-386) 27-716
I(27-387) 27-717
I(27-388) 27-718
I(27-389) 27-719
I(27-390) 27-720
I(27-401) 27-739
I(27-402) 27-740
I(27-403) 27-741
I(27-404) 27-742
I(27-405) 27-743
I(27-406) 27-744
I(27-407) 27-745
I(27-408) 27-746
I(27-409) 27-747
I(27-410) 27-748
I(27-411) 27-749
I(27-412) 27-750
I(27-413) 27-751
I(27-414) 27-752
I(27-415) 27-753
I(27-426) 27-775
I(27-427) 27-776
I(27-428) 27-777
I(27-429) 27-778
I(27-430) 27-779
I(27-431) 27-780
I(27-432) 27-781
I(27-433) 27-782
I(27-434) 27-783
I(27-460) 27-805
I(27-461) 27-806
I(27-462) 27-807
I(27-463) 27-808
I(27-464) 27-809
I(27-465) 27-810
I(27-466) 27-811
I(27-467) 27-812
I(27-468) 27-813
I(27-469) 27-814
