SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Municipal Code will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ordinance
Number Date
Adopted Included/
Omitted Supplement
Number
7485A  4- 2-2010 Omitted 21
7808  5-13-2015 Included 29
7809  5-13-2015 Omitted 29
7810  5-13-2015 Omitted 29
7811  5-13-2015 Omitted 29
7812  6-10-2015 Omitted 29
7813  6-10-2015 Included 29
7814  6-10-2015 Omitted 29
7815  6-10-2015 Omitted 29
7816  6-10-2015 Included 29
7817  6-10-2015 Omitted 29
7818  6-10-2015 Omitted 29
7819  6-10-2015 Omitted 29
7820  7- 8-2015 Omitted 29
7821  7- 8-2015 Omitted 29
7822  7- 8-2015 Omitted 29
7823  8-12-2015 Omitted 29
7824  7- 8-2015 Omitted 29
7825  7- 8-2015 Omitted 29
7826  7- 8-2015 Omitted 29
7827  7- 8-2015 Omitted 29
7829  8-12-2015 Omitted 29
7830  8-12-2015 Omitted 29
7831  8-12-2015 Omitted 29
7832  8-12-2015 Omitted 29
7833  8-12-2015 Included 29
7834  8-12-2015 Included 29
7835  9- 9-2015 Included 30
7836  9- 9-2015 Included 30
7837  9- 9-2015 Omitted 30
7838  9- 9-2015 Included 30
7839  9- 9-2015 Omitted 30
7840  9- 9-2015 Included 30
7841 10-14-2015 Omitted 30
7842 10-14-2015 Included 30
7843 10-14-2015 Omitted 30
7844 10-14-2015 Included 30
7845 10-14-2015 Omitted 30
7846 10-14-2015 Omitted 30
7847 10-14-2015 Omitted 30
7848 10-14-2015 Omitted 30
7849 10-14-2015 Omitted 30
7850 10-14-2015 Omitted 30
7851 10-14-2015 Omitted 30
7852 10-14-2015 Omitted 30
7853 10-14-2015 Included 30
7854 11-11-2015 Omitted 30
7855 11-11-2015 Omitted 30
7856 11-11-2015 Included 30
7857 10-14-2015 Omitted 30
7858 12- 9-2015 Omitted 30
7859 12- 9-2015 Included 30
7861 12- 9-2015 Omitted 30
7860 12- 9-2015 Omitted 30
7862  1- 4-2016 Omitted 31
7863  1-13-2016 Omitted 31
7864  1-13-2016 Omitted 31
7865  1-13-2016 Included 31
7866  1-13-2016 Omitted 31
7867  1-13-2016 Included 31
7868  2-10-2016 Omitted 31
7869  2-10-2016 Included 31
7870  2-10-2016 Omitted 31
7871  3- 9-2016 Included 31
7872  3- 9-2016 Included 31
7873  3- 9-2016 Included 31
7875  5-11-2016 Included 32
7876  5-11-2016 Omitted 32
7877  5-11-2016 Omitted 32
7878  5-11-2016 Omitted 32
7879  5-11-2016 Omitted 32
7880  5-11-2016 Omitted 32
7881  6- 8-2016 Included 32
7882  6- 8-2016 Omitted 32
7883  6- 8-2016 Omitted 32
7884  6- 8-2016 Omitted 32
7885  6- 8-2016 Omitted 32
7886  6- 8-2016 Omitted 32
7887  6- 8-2016 Omitted 32
7888  6- 8-2016 Omitted 32
7889  6- 8-2016 Included 32
7890  6- 8-2016 Included 32
7891  6- 8-2016 Included 32
7892  6- 8-2016 Included 32
7893  6- 8-2016 Included 32
7894  8-10-2016 Omitted 32
7895  6- 8-2016 Omitted 32
7896  7-13-2016 Omitted 32
7897  7-13-2016 Omitted 32
7898  7-13-2016 Omitted 32
7899  7-13-2016 Omitted 32
7900  7-13-2016 Omitted 32
7901  7-13-2016 Omitted 32
7902  7-13-2016 Included 32
7903  7-13-2016 Included 32
7904  7-13-2016 Included 32
7905  7-13-2016 Omitted 32
7906  7-13-2016 Included 32
7907  7-14-2016 Omitted 32
7908  8-10-2016 Omitted 32
7909  8-10-2016 Omitted 32
7910  8-10-2016 Omitted 32
7911  8-10-2016 Omitted 32
7912  8-10-2016 Omitted 32
7913  8-10-2016 Omitted 32
7914  8-10-2016 Omitted 32
7915  8-10-2016 Omitted 32
7916  8-10-2016 Omitted 32
7919  9-14-2016 Omitted 32
7921  9-14-2016 Omitted 32
7922  9-14-2016 Omitted 32
7923 10-13-2016 Included 32
7924 10-13-2016 Omitted 32
7925 10-13-2016 Included 32
7926 10-13-2016 Included 32
7927 10-13-2016 Included 32
7928 11- 9-2016 Omitted 32
7929 11- 9-2016 Included 32
7930 11- 9-2016 Omitted 32
7931 11- 9-2016 Omitted 32
7934  1-11-2017 Omitted 33
7936  1-11-2017 Omitted 33
7937  1-11-2017 Omitted 33
7938  1-11-2017 Omitted 33
7939  1-11-2017 Included 33
7940  1-11-2017 Omitted 33
7941  1-11-2017 Omitted 33
7943  2- 8-2017 Omitted 33
7944  2- 8-2017 Omitted 33
7945  2- 8-2017 Omitted 33
7946  2- 8-2017 Included 33
7947  2- 8-2017 Omitted 33
7948  3- 8-2017 Omitted 33
7949  3- 8-2017 Omitted 33
7950  3- 8-2017 Omitted 33
7951  3- 8-2017 Omitted 33
7952  4-12-2017 Included 33
7953  4-12-2017 Omitted 33
7954  4-12-2017 Omitted 33
7955  4-12-2017 Omitted 33
7956  5-10-2017 Omitted 34
7957  5-10-2017 Omitted 34
7958  5-10-2017 Omitted 34
7959  6-14-2017 Omitted 34
7960  6-14-2016 Omitted 34
7961  6-14-2017 Included 34
7962  6-14-2017 Omitted 34
7963  6-14-2017 Omitted 34
7964  6-14-2017 Included 34
7965  6-14-2017 Included 34
7966  6-14-2017 Included 34
7967  6-14-2017 Included 34
7968  7-12-2017 Omitted 34
7969  7-12-2017 Omitted 34
7970  7-12-2017 Omitted 34
7971  7-12-2017 Omitted 34
7972  7-26-2017 Omitted 34
7973  7-12-2017 Included 34
HB 577  5- 4-2017 Included 35
7974  8- 9-2017 Omitted 35
7975  9-13-2017 Omitted 35
7976  9-13-2017 Included 35
7977  9-13-2017 Omitted 35
7978  9-13-2017 Omitted 35
7979  9-13-2017 Omitted 35
7980  9-13-2017 Omitted 35
7981 10-11-2017 Omitted 35
7982 10-11-2017 Omitted 35
7983 10-11-2017 Omitted 35
7984 10-11-2017 Omitted 35
7985 11- 8-2017 Omitted 35
7986 11- 8-2017 Omitted 35
7987 11- 8-2017 Omitted 35
7988 11- 8-2017 Included 35
7989 11- 8-2017 Omitted 35
7990 11- 8-2017 Omitted 35
7991 11- 8-2017 Omitted 35
7992 12-13-2017 Omitted 35
7993 12-13-2017 Omitted 35
7994 12-13-2017 Included 35
7995 12-13-2017 Omitted 35
7996 12-13-2017 Omitted 35
7784  1-11-2012 Included 36
7997  1-10-2018 Omitted 36
7998  1-10-2018 Omitted 36
7999  1-10-2018 Omitted 36
8000  1-10-2018 Included 36
8001  1-10-2018 Included 36
8002  2-14-2018 Included 36
8003  2-14-2018 Included 36
8004  2-14-2018 Included 36
8005  2-14-2018 Included 36
8006  2-14-2018 Included 36
8007  2-14-2018 Omitted 36
8008  2-14-2018 Omitted 36
8009  2-14-2018 Omitted 36
8010  2-14-2018 Omitted 36
8011  2-14-2018 Omitted 36
8012  2-14-2018 Omitted 36
8013  2-14-2018 Omitted 36
8014  2-14-2018 Included 36
8015  3-14-2018 Included 36
8016  3-14-2018 Included 36
8017  3-14-2018 Included 36
8018  3-14-2018 Included 36
8019  4-11-2018 Included 36
8020  3-14-2018 Omitted 36
8021  3-14-2018 Omitted 36
8022  3-14-2018 Omitted 36
8023  3-14-2018 Omitted 36
8024  3-14-2018 Omitted 36
8025  4-11-2018 Omitted 36
8026  4-11-2018 Omitted 36
8027  4-11-2018 Included 36
8028  4-11-2018 Omitted 36
8029  4-11-2018 Omitted 36
8030  4-11-2018 Omitted 36
8031  6-13-2018 Omitted 36
8032  5- 9-2018 Included 36
8033  6-13-2018 Omitted 36
8034  6-13-2018 Omitted 36
8035  6-13-2018 Omitted 36
8036  7-11-2018 Omitted 37
8037  7-11-2018 Omitted 37
8038  7-11-2018 Included 37
8039  8- 8-2018 Omitted 37
8040  8- 8-2018 Omitted 37
8041  7-24-2018 Omitted 37
8043  9-12-2018 Omitted 37
8044  9-12-2018 Omitted 37
8045  9-12-2018 Omitted 37
8046  9-12-2018 Omitted 37
8047  9-12-2018 Omitted 37
8048  9-12-2018 Omitted 37
8049 10-10-2018 Included 37
8050 10-10-2018 Included 37
8051 10-10-2018 Included 37
8052 10-10-2018 Included 37
8053 10-10-2018 Omitted 37
8054 11-14-2018 Included 37
8055 10-10-2018 Omitted 37
8056 11-14-2018 Omitted 37
8057 11-14-2018 Included 37
8058 11-14-2018 Omitted 37
8059 11-14-2018 Included 37
8060 11-14-2018 Omitted 37
8061 11-14-2018 Included 37
8062 11-14-2018 Omitted 37
8063 11-14-2018 Included 37
8064 11-14-2018 Omitted 37
8065 12-12-2018 Omitted 37
8066 12-12-2018 Omitted 37
8067 12-12-2018 Omitted 37
8068 12-12-2018 Omitted 37
8070  1- 9-2019 Omitted 38
8071  1- 9-2019 Omitted 38
8072  1- 9-2019 Omitted 38
8073  1- 9-2019 Omitted 38
8074  1- 9-2019 Omitted 38
8075  2-13-2019 Omitted 38
8076  2-13-2019 Included 38
8077  2-13-2019 Included 38
8078  2-13-2019 Included 38
8079  3-13-2019 Included 38
8080  3-13-2019 Omitted 38
8081  3-13-2019 Included 38
8082  3-13-2019 Omitted 38
8083  3-13-2019 Omitted 38
8084  3-13-2019 Omitted 38
8085  3-13-2019 Omitted 38
8086  4-10-2019 Omitted 38
8087  4-10-2019 Omitted 38
8088  5- 8-2019 Included 38
8089  5- 8-2019 Omitted 38
8090  5- 8-2019 Omitted 38
8091  5- 8-2019 Omitted 38
8092  6-12-2019 Omitted 39
8093  6-12-2019 Included 39
8094  6-12-2019 Omitted 39
8095  6-12-2019 Omitted 39
8096  6-12-2019 Omitted 39
8097  7-10-2019 Omitted 39
8098  7-10-2019 Omitted 39
8099  7-10-2019 Omitted 39
8100  7-30-2019 Omitted 39
8101  8-14-2019 Included 39
8102  8-14-2019 Included 39
8103  8-14-2019 Omitted 39
8104  8-14-2019 Omitted 39
8105  8-14-2019 Omitted 39
8106  8-14-2019 Omitted 39
8107  9-11-2019 Omitted 39
8108  9-11-2019 Included 39
8109  9-11-2019 Included 39
8110  9-11-2019 Omitted 39
8111  9-11-2019 Omitted 39
8112  9-11-2019 Omitted 39
8113  9-11-2019 Omitted 39
8114  9-11-2019 Omitted 39
8115  9-11-2019 Omitted 39
8116  9-11-2019 Included 39
8117 10-10-2019 Omitted 40
8118 10-10-2019 Included 40
8119 10-10-2019 Included 40
8120 11-13-2019 Omitted 40
8121 10-10-2019 Omitted 40
8122 11-13-2019 Omitted 40
8123 11-13-2019 Omitted 40
8124 12-11-2019 Included 40
8125 12-11-2019 Included 40
8126 12-11-2019 Omitted 40
8127 12-11-2019 Omitted 40
8128 12-11-2019 Omitted 40
8129 12-11-2019 Omitted 40
8130 12-11-2019 Included 40
8131 12-11-2019 Included 40
8132  1- 8-2020 Omitted 41
8133  2-12-2020 Omitted 41
8134  2-12-2020 Omitted 41
8135  2-12-2020 Omitted 41
8136  2-12-2020 Included 41
8137  2-12-2020 Included 41
8138  3-11-2020 Included 41
8139  3-11-2020 Included 41
8140  3-11-2020 Included 41
8141  3-11-2020 Omitted 41
8142  4- 6-2020 Included 41
8143  4- 6-2020 Included 41
8144  4- 6-2020 Omitted 41
8145  4-28-2020 Omitted 41
8146  5-13-2020 Omitted 41
